id	drug	CTRP	CORR
1	(5Z)-7-Oxozeaenol	NO	False
2	5-Fluorouracil	NO	False
3	681640	NO	False
4	A-443654	NO	False
5	A-770041	NO	False
6	Afatinib (1)	YES	True
7	Afatinib (2)	YES	True
8	AICA Ribonucleotide	NO	False
9	AKT inhibitor VIII (1)	NO	False
10	AKT inhibitor VIII (2)	NO	False
11	Alectinib	NO	False
12	Amuvatinib	NO	False
13	AR-42	NO	False
14	AS601245	NO	False
15	AS605240	NO	False
16	AT-7519	NO	False
17	Avagacestat (1)	NO	False
18	Avagacestat (2)	NO	False
19	Axitinib	YES	True
20	AZ628	NO	False
21	AZD6482 (1)	YES	True
22	AZD6482 (2)	YES	True
23	AZD7762	YES	True
24	AZD8055	YES	True
25	BAY-61-3606	NO	False
26	Belinostat	NO	False
27	Bexarotene	YES	False
28	BI-2536	YES	False
29	Bicalutamide (1)	NO	False
30	Bicalutamide (2)	NO	False
31	BIX02189	NO	False
32	Bleomycin	YES	False
33	Bleomycin (50 uM)	NO	False
34	BMS-345541	YES	True
35	BMS-509744	NO	False
36	BMS-536924 (1)	YES	True
37	BMS-536924 (2)	YES	True
38	BMS-754807	YES	True
39	Bortezomib	YES	False
40	Bosutinib	YES	True
41	Bryostatin 1	NO	False
42	BX-912	NO	False
43	BX796	NO	False
44	Cabozantinib	NO	False
45	Camptothecin	NO	False
46	CAY10603	NO	False
47	CCT-018159	NO	False
48	CCT007093	NO	False
49	Cetuximab	NO	False
50	CGP-082996	NO	False
51	CGP-60474	NO	False
52	CHIR-99021 (1)	YES	False
53	CHIR-99021 (2)	YES	True
54	CI-1040	NO	False
55	Cisplatin	NO	False
56	CMK	NO	False
57	CP466722	NO	False
58	CP724714	NO	False
59	Crizotinib	YES	False
60	CUDC-101	NO	False
61	CX-5461	NO	False
62	Cyclopamine	NO	False
63	Cytarabine	YES	False
64	Dabrafenib	YES	True
65	Dacinostat	NO	False
66	Dactolisib	YES	False
67	Daporinad	NO	False
68	Dasatinib	YES	True
69	DMOG	NO	False
70	Docetaxel	YES	False
71	Doramapimod	NO	False
72	Doxorubicin	YES	False
73	EHT-1864	NO	False
74	Elesclomol	NO	False
75	Embelin	NO	False
76	Entinostat	NO	False
77	Enzastaurin	NO	False
78	Epothilone B	NO	False
79	Erlotinib	YES	True
80	Etoposide	YES	True
81	Fedratinib	YES	True
82	FH535	NO	False
83	FMK	NO	False
84	FR-180204	NO	False
85	FTI-277	NO	False
86	Gefitinib	YES	False
87	Gemcitabine	YES	True
88	Genentech Cpd 10	NO	False
89	GNF-2	NO	False
90	GSK1070916	NO	False
91	GSK1904529A	NO	False
92	GSK269962A (1)	NO	False
93	GSK269962A (2)	NO	False
94	GSK319347A	NO	False
95	GSK429286A	NO	False
